"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,37,Batanai Primary School A,4200MKI3701 A,1,97,0,0,0,1,0,0,0,1,0,0,0,1,369,2,0,0,0,2,0,0,1,3,0,478,475
Makoni,Headlands,Makoni RDC,37,Batanai Primary School B,4200MKI3701 B,3,100,0,0,0,1,0,6,0,0,0,0,0,1,374,0,1,0,1,0,0,0,1,6,0,494,488
Makoni,Headlands,Makoni RDC,37,Coldstream Ranch Farm Tent,4200MKI3702,2,154,1,0,0,0,0,3,0,0,0,0,0,1,164,1,0,0,0,0,1,1,0,10,0,338,328
Makoni,Headlands,Makoni RDC,37,Karori Primary School,4200MKI3703,1,118,2,0,0,0,0,3,0,1,0,0,0,0,173,2,0,0,0,0,0,0,1,20,0,321,301
Makoni,Headlands,Makoni RDC,37,Lesbury Primary School,4200MKI3704,2,48,1,0,0,0,0,1,0,0,0,0,0,0,197,0,0,0,0,1,0,1,0,8,0,259,251
Makoni,Headlands,Makoni RDC,37,Monte Cassino High School,4200MKI3705,1,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,61,61
Makoni,Headlands,Makoni RDC,37,Olivia Primary School,4200MKI3706,4,92,1,1,1,0,1,1,0,0,0,0,0,0,449,0,0,0,1,0,2,1,0,11,0,565,554
Makoni,Headlands,Makoni RDC,37,Wakefield Primary School,4200MKI3707,2,61,1,0,0,1,1,1,0,0,1,2,0,0,471,1,0,0,2,0,0,0,1,1,0,546,545
,,,,8 POLLING STATIONS,WARD TOTAL,16,710,6,1,1,3,2,15,0,2,1,2,0,3,2217,6,1,0,4,3,3,3,4,59,0,3062,3003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HEADLANDS CONSTITUENCY TOTALS,,,,112,8502,60,13,13,45,25,188,8,47,13,5,7,17,14284,77,14,19,51,18,21,15,22,325,0,23901,23576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,1,Chikomba Primary School,5000MTS0101,8,147,3,0,0,2,0,3,0,0,0,0,1,0,248,0,0,0,0,1,0,0,0,13,0,426,413
Mutasa,Mutasa North,Mutasa RDC,1,Chisuko Primary School A,5000MTS0102 A,3,287,3,0,0,3,0,6,0,1,1,0,0,1,219,3,0,1,2,1,2,1,2,7,0,543,536
Mutasa,Mutasa North,Mutasa RDC,1,Chisuko Primary School B,5000MTS0102 B,7,350,4,1,0,1,1,7,0,1,0,1,0,0,172,4,1,0,1,0,0,2,0,14,0,567,553
Mutasa,Mutasa North,Mutasa RDC,1,Madzinga Business Centre Tent,5000MTS0103,5,155,2,0,0,0,1,1,0,0,0,0,0,0,237,5,0,0,0,0,0,0,0,8,0,414,406
Mutasa,Mutasa North,Mutasa RDC,1,Sagambe Primary School,5000MTS0104,8,297,7,1,0,2,5,15,0,0,0,0,0,1,410,1,2,0,0,0,1,2,0,15,0,767,752
,,,, 5 POLLING STATIONS,WARD TOTAL,31,1236,19,2,0,8,7,32,0,2,1,1,1,2,1286,13,3,1,3,2,3,5,2,57,0,2717,2660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,2,Aberfoyle Primary School,5000MTS0201,1,54,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,0,1,0,132,131
Mutasa,Mutasa North,Mutasa RDC,2,Chipote Resettlement Tent,5000MTS0202,0,11,1,0,0,0,0,0,0,0,1,0,0,0,116,0,0,1,0,0,0,0,0,5,0,135,130
Mutasa,Mutasa North,Mutasa RDC,2,E.H.P.L ÒNo 3Ó Primary School,5000MTS0203,3,211,1,0,0,1,0,0,0,0,0,0,0,0,150,0,0,0,0,1,0,0,0,2,0,369,367
Mutasa,Mutasa North,Mutasa RDC,2,E.H.P.L No. 6 Primary School,5000MTS0204,3,191,0,0,0,0,7,1,0,0,0,1,0,0,128,4,0,1,1,0,0,0,0,2,0,339,337
,,,, 4 POLLING STATIONS,WARD TOTAL,7,467,2,0,0,1,8,1,0,0,1,1,0,0,468,4,0,2,1,1,0,1,0,10,0,975,965
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,3,Nyamhingura Primary School,5000MTS0301,2,146,2,0,0,0,1,3,0,0,0,1,0,0,120,0,0,2,2,0,0,2,0,7,0,288,281
Mutasa,Mutasa North,Mutasa RDC,3,Nyamhingura Secondary School,5000MTS0302,3,367,2,0,1,3,3,4,0,1,0,0,0,0,200,2,1,0,1,0,1,0,0,17,0,606,589
Mutasa,Mutasa North,Mutasa RDC,3,Rutsate Primary School,5000MTS0303,2,100,3,0,2,0,0,1,0,0,0,1,0,0,86,3,1,0,1,0,0,0,0,3,0,203,200
Mutasa,Mutasa North,Mutasa RDC,3,Samutete Primary School A,5000MTS0304 A,3,232,1,0,1,0,2,1,0,1,1,0,1,3,334,3,0,0,1,3,1,0,1,6,0,595,589
Mutasa,Mutasa North,Mutasa RDC,3,Samutete Primary School B,5000MTS0304 B,1,251,1,1,1,1,4,1,0,0,0,0,0,1,320,3,0,0,1,1,0,0,0,7,0,594,587
Mutasa,Mutasa North,Mutasa RDC,3,Zindi Primary School,5000MTS0305,4,331,0,0,2,1,0,1,0,0,0,0,0,1,239,4,0,0,0,1,0,0,1,10,0,595,585
,,,, 6 POLLING STATIONS,WARD TOTAL,15,1427,9,1,7,5,10,11,0,2,1,2,1,5,1299,15,2,2,6,5,2,2,2,50,0,2881,2831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,4,Chiko Village Tent,5000MTS0401,5,297,1,0,0,0,1,4,0,0,0,0,1,2,340,4,1,0,0,1,0,1,0,11,0,669,658
Mutasa,Mutasa North,Mutasa RDC,4,Dumba Business Centre Tent,5000MTS0402,1,198,1,0,0,0,3,0,0,1,0,0,0,0,177,4,0,0,0,0,0,0,0,15,0,400,385
Mutasa,Mutasa North,Mutasa RDC,4,Makwara Primary School,5000MTS0403,2,300,2,1,0,0,2,1,0,0,0,0,0,0,328,2,0,0,0,0,0,0,1,7,0,646,639
Mutasa,Mutasa North,Mutasa RDC,4,St Peter's Mandeya Primary School,5000MTS0404,0,223,0,0,0,1,3,4,1,0,0,0,0,0,88,1,0,0,0,0,0,0,0,4,0,325,321
,,,, 4 POLLING STATIONS,WARD TOTAL,8,1018,4,1,0,1,9,9,1,1,0,0,1,2,933,11,1,0,0,1,0,1,1,37,0,2040,2003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,5,Buwu Primary School,5000MTS0501,5,245,2,0,0,0,2,5,1,1,0,0,0,0,147,2,0,0,0,0,2,0,2,2,0,416,414
Mutasa,Mutasa North,Mutasa RDC,5,Buwu Pulpary,5000MTS0502,2,202,2,0,0,1,1,4,0,0,0,1,0,0,175,2,2,0,0,3,0,0,0,12,0,407,395
Mutasa,Mutasa North,Mutasa RDC,5,Loretto Primary School,5000MTS0503,4,262,4,0,0,0,2,3,0,1,0,0,0,1,213,0,1,0,1,0,0,1,1,5,0,499,494
Mutasa,Mutasa North,Mutasa RDC,5,Muparutsa Primary School,5000MTS0504,4,349,3,0,0,2,1,1,0,0,0,0,0,0,295,2,0,1,0,0,0,0,2,22,0,682,660
Mutasa,Mutasa North,Mutasa RDC,5,Murara Community Hall,5000MTS0505,5,138,1,0,0,4,3,3,1,0,0,0,0,1,288,1,0,0,0,2,0,0,0,10,0,457,447
Mutasa,Mutasa North,Mutasa RDC,5,Nyandoro Creche,5000MTS0506,1,141,1,0,0,2,1,0,0,1,1,0,0,0,159,3,0,0,2,0,0,0,1,9,0,322,313
,,,, 6 POLLING STATIONS,WARD TOTAL,21,1337,13,0,0,9,10,16,2,3,1,1,0,2,1277,10,3,1,3,5,2,1,6,60,0,2783,2723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,6,Bvuma Business centre Tent,5000MTS0601,0,146,2,0,0,1,0,0,1,0,0,0,0,0,97,2,0,0,5,0,0,0,0,2,0,256,254
Mutasa,Mutasa North,Mutasa RDC,6,Gatsi Primary School,5000MTS0602,4,376,2,0,0,2,1,6,0,0,0,0,0,1,332,9,0,0,1,1,1,1,1,6,0,744,738
Mutasa,Mutasa North,Mutasa RDC,6,Madziro Village Open Space Tent,5000MTS0603,0,220,1,0,0,0,2,6,0,1,0,0,0,1,315,2,0,1,0,1,0,1,0,8,0,559,551
Mutasa,Mutasa North,Mutasa RDC,6,St Columbas Primary School,5000MTS0604,7,388,3,1,1,0,1,13,0,1,0,2,1,2,217,2,1,2,0,0,0,0,0,10,0,652,642
,,,, 4 POLLING STATIONS,WARD TOTAL,11,1130,8,1,1,3,4,25,1,2,0,2,1,4,961,15,1,3,6,2,1,2,1,26,0,2211,2185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,7,Chitombo Primary School,5000MTS0701,0,120,0,0,0,0,2,1,0,0,0,0,0,0,109,3,0,0,0,1,0,0,0,0,0,236,236
Mutasa,Mutasa North,Mutasa RDC,7,Kwambana Primary School,5000MTS0702,2,244,1,1,0,1,2,1,0,0,0,0,0,0,60,1,0,1,1,0,0,0,0,5,0,320,315
Mutasa,Mutasa North,Mutasa RDC,7,Makunike Community Hall,5000MTS0703,3,243,4,0,0,2,4,3,0,0,0,1,1,3,356,2,2,1,0,2,0,0,0,21,0,648,627
Mutasa,Mutasa North,Mutasa RDC,7,Manunure Primary School,5000MTS0704,8,402,2,1,1,2,2,3,0,0,0,0,1,0,139,8,0,0,1,0,0,0,0,12,0,582,570
Mutasa,Mutasa North,Mutasa RDC,7,Samanga Primary School,5000MTS0705,3,337,1,0,2,0,0,11,0,0,0,0,1,1,192,8,0,1,0,2,0,0,2,13,0,574,561
Mutasa,Mutasa North,Mutasa RDC,7,St Joseph's Church Ground Tent,5000MTS0706,4,151,0,1,1,2,6,2,0,0,0,0,0,0,173,6,0,0,0,0,0,1,0,5,0,352,347
,,,, 6 POLLING STATIONS,WARD TOTAL,20,1497,8,3,4,7,16,21,0,0,0,1,3,4,1029,28,2,3,2,5,0,1,2,56,0,2712,2656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,8,Chirindo Village Tent,5000MTS0801,0,139,1,0,0,0,0,2,0,0,0,0,0,0,62,1,0,0,0,1,0,0,0,3,0,209,206
Mutasa,Mutasa North,Mutasa RDC,8,Honde River Primary School,5000MTS0802,3,203,1,0,0,0,2,6,0,0,0,0,0,0,60,5,0,1,0,0,0,0,1,3,0,285,282
Mutasa,Mutasa North,Mutasa RDC,8,Makwasa Primary School,5000MTS0803,2,176,0,1,0,0,2,2,0,0,0,0,0,0,143,1,0,1,0,0,0,0,0,11,0,339,328
Mutasa,Mutasa North,Mutasa RDC,8,Mupotedzi Community Hall,5000MTS0804,1,167,1,0,0,1,3,2,0,0,0,0,1,0,81,0,0,1,1,0,1,0,0,1,0,261,260
Mutasa,Mutasa North,Mutasa RDC,8,Sahumani Primary School,5000MTS0805,2,346,2,0,0,0,6,1,0,0,0,0,0,0,257,3,0,4,0,1,0,0,1,7,0,630,623
Mutasa,Mutasa North,Mutasa RDC,8,Sahumani Secondary School,5000MTS0806,1,225,0,0,0,1,1,2,0,0,0,0,0,0,151,1,0,0,1,1,0,1,0,3,0,388,385
,,,, 6 POLLING STATIONS,WARD TOTAL,9,1256,5,1,0,2,14,15,0,0,0,0,1,0,754,11,0,7,2,3,1,1,2,28,0,2112,2084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,9,Kostern Primary School,5000MTS0901,1,152,1,0,0,0,1,4,1,0,1,0,0,0,128,1,0,1,0,0,0,1,0,10,0,302,292
Mutasa,Mutasa North,Mutasa RDC,9,Muuya Village Tent,5000MTS0902,0,109,0,0,0,1,1,2,0,0,0,1,0,0,183,3,0,0,0,0,0,0,0,4,0,304,300
Mutasa,Mutasa North,Mutasa RDC,9,Ngarura Primary School,5000MTS0903,7,245,3,0,1,2,3,2,0,0,0,0,0,3,287,2,0,1,0,3,0,0,1,24,0,584,560
Mutasa,Mutasa North,Mutasa RDC,9,Nyamaende Primary School,5000MTS0904,1,77,0,0,0,0,0,2,1,0,0,0,0,0,97,0,0,0,0,0,0,0,0,8,0,186,178
Mutasa,Mutasa North,Mutasa RDC,9,Rupinda Primary School,5000MTS0905,3,283,2,0,0,0,1,2,0,0,1,0,0,0,255,2,1,2,0,1,0,1,0,9,0,563,554
,,,, 5 POLLING STATIONS,WARD TOTAL,12,866,6,0,1,3,6,12,2,0,2,1,0,3,950,8,1,4,0,4,0,2,1,55,0,1939,1884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,28,Chavhanga Primary School,5000MTS2801,6,213,5,1,1,1,2,0,0,0,0,0,0,0,251,2,0,0,0,0,0,0,0,9,0,491,482
Mutasa,Mutasa North,Mutasa RDC,28,Mapureti Business Centre Tent,5000MTS2802,7,155,0,0,0,1,2,3,0,0,0,0,0,0,239,4,1,0,1,0,0,2,0,13,0,428,415
Mutasa,Mutasa North,Mutasa RDC,28,Pachije Primary School,5000MTS2803,6,222,0,0,2,2,0,3,0,0,0,1,1,0,161,4,0,1,1,0,0,1,0,8,0,413,405
,,,, 3 POLLING STATIONS,WARD TOTAL,19,590,5,1,3,4,4,6,0,0,0,1,1,0,651,10,1,1,2,0,0,3,0,30,0,1332,1302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,29,Katiyo Community Hall,5000MTS2901,5,141,2,0,0,0,1,3,0,0,0,2,1,0,326,1,0,1,1,0,0,0,0,9,0,493,484
,,,, 1 POLLING STATION,WARD TOTAL,5,141,2,0,0,0,1,3,0,0,0,2,1,0,326,1,0,1,1,0,0,0,0,9,0,493,484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,30,Muterere Secondary School,5000MTS3001,0,303,5,1,1,1,1,4,0,0,1,0,1,0,426,3,2,0,0,0,0,0,0,2,0,751,749
Mutasa,Mutasa North,Mutasa RDC,30,Pimai Primary School,5000MTS3002,5,291,4,0,0,2,3,7,0,0,0,0,0,0,359,2,0,0,0,1,0,0,0,17,0,691,674
Mutasa,Mutasa North,Mutasa RDC,30,Rumbizi Camp Rest,5000MTS3003,1,110,0,0,0,0,1,0,0,0,0,1,1,0,92,1,0,0,0,0,0,1,0,2,0,210,208
,,,, 3 POLLING STATIONS,WARD TOTAL,6,704,9,1,1,3,5,11,0,0,1,1,2,0,877,6,2,0,0,1,0,1,0,21,0,1652,1631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa North,Mutasa RDC,31,Hauna Airstrip Ground Tent A,5000MTS3101 A,1,474,0,0,0,1,1,3,1,0,0,0,0,1,267,2,0,1,1,0,1,1,0,11,0,766,755
Mutasa,Mutasa North,Mutasa RDC,31,Hauna Airstrip Ground Tent B,5000MTS3101 B,0,474,1,0,0,0,1,6,0,0,1,0,0,0,223,2,1,1,1,0,0,2,0,10,0,723,713
Mutasa,Mutasa North,Mutasa RDC,31,Nyatsanza Primary School,5000MTS3102,2,151,1,0,0,1,0,2,0,0,0,0,0,0,94,0,0,2,0,0,1,1,0,7,0,262,255
Mutasa,Mutasa North,Mutasa RDC,31,Ruda Primary School,5000MTS3103,1,153,0,0,0,1,0,1,0,1,0,0,0,0,146,1,0,0,0,1,0,0,0,2,0,307,305
,,,, 4 POLLING STATIONS,WARD TOTAL,4,1252,2,0,0,3,2,12,1,1,1,0,0,1,730,5,1,4,2,1,2,4,0,30,0,2058,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MUTASA NORTH CONSTITUENCY,,,TOTALS,168,12921,92,11,17,49,96,174,7,11,8,13,12,23,11541,137,17,29,28,30,11,24,17,469,0,25905,25436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutasa South,Mutare Municipality,11,Mutare Boys High School,7501MUM1101,0,472,0,0,0,0,0,2,0,0,1,0,0,0,121,0,0,1,2,0,0,0,0,4,0,603,599
Mutare,Mutasa South,Mutare Municipality,11,Mutare Girls High School,7501MUM1102,0,311,0,0,0,0,0,1,0,0,0,0,0,0,82,0,0,1,1,0,0,1,0,4,0,401,397
Mutare,Mutasa South,Mutare Municipality,11,Mutare Junior School A,7501MUM1103 A,2,545,0,0,0,0,2,1,0,0,0,0,0,0,197,4,0,0,7,0,0,0,0,8,0,766,758
Mutare,Mutasa South,Mutare Municipality,11,Mutare Junior School B,7501MUM1103 B,1,571,0,0,0,0,0,1,0,0,0,0,0,0,198,1,0,1,1,0,0,0,0,3,0,777,774
Mutare,Mutasa South,Mutare Municipality,11,Mutare Polytechnic College A,7501MUM1104 A,1,342,0,0,0,0,0,2,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,8,0,453,445
Mutare,Mutasa South,Mutare Municipality,11,Mutare Polytechnic College B,7501MUM1104 B,0,395,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1,0,2,0,0,1,0,1,0,469,468
Mutare,Mutasa South,Mutare Municipality,11,Raylton Sports Club,7501MUM1105,1,407,1,0,0,0,0,5,0,0,0,0,0,0,128,1,0,0,9,0,0,0,0,6,0,558,552
,,,,7 POLLING STATIONS,WARD TOTAL,5,3043,1,0,0,0,2,12,0,0,1,0,0,0,893,8,1,3,22,0,0,2,0,34,0,4027,3993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutasa South,Mutare Municipality,12,Baring Primary School A,7501MUM1201 A,0,475,1,0,0,0,1,1,0,0,0,0,0,0,163,1,0,0,1,0,0,0,0,7,0,650,643
Mutare,Mutasa South,Mutare Municipality,12,Baring Primary School B,7501MUM1201 B,1,500,0,0,1,0,1,1,1,0,1,0,0,0,152,0,0,0,8,0,0,0,0,2,0,668,666
Mutare,Mutasa South,Mutare Municipality,12,Chancellor Primary School,7501MUM1202,0,478,0,0,0,0,0,3,0,0,0,0,0,0,165,1,1,0,1,1,0,0,0,6,0,656,650
Mutare,Mutasa South,Mutare Municipality,12,Early Learning Centre A,7501MUM1203 A,0,467,0,0,0,0,1,0,0,0,0,0,0,0,112,1,0,0,4,0,0,1,0,2,0,588,586
Mutare,Mutasa South,Mutare Municipality,12,Early Learning Centre B,7501MUM1203 B,1,433,0,0,0,0,2,2,0,0,0,0,0,0,139,4,0,0,4,0,0,1,0,5,0,591,586
Mutare,Mutasa South,Mutare Municipality,12,Fairbridge Park Tent A,7501MUM1204 A,1,324,1,0,0,0,0,0,0,1,0,0,0,0,106,0,0,0,1,0,0,0,0,4,0,438,434
Mutare,Mutasa South,Mutare Municipality,12,Fairbridge Park Tent B,7501MUM1204 B,0,306,0,0,0,0,0,1,0,0,0,0,0,0,121,0,0,0,1,0,0,0,0,5,0,434,429
Mutare,Mutasa South,Mutare Municipality,12,Hillside Sports Club,7501MUM1205,1,324,0,0,0,0,1,2,0,0,0,0,0,1,116,2,0,1,0,0,0,0,0,1,0,449,448
Mutare,Mutasa South,Mutare Municipality,12,Mutare Hall,7501MUM1206,0,273,0,0,1,0,0,0,0,0,0,0,0,0,137,1,0,0,0,0,0,0,0,4,0,416,412
Mutare,Mutasa South,Mutare Municipality,12,Show grounds Tent A,7501MUM1207 A,1,253,0,0,0,0,0,0,2,0,1,0,2,0,477,0,0,0,1,0,0,0,0,6,0,743,737
Mutare,Mutasa South,Mutare Municipality,12,Show grounds Tent B,7501MUM1207 B,0,253,0,0,0,0,0,0,0,0,0,0,0,1,457,0,0,1,1,0,0,0,0,11,0,724,713
Mutare,Mutasa South,Mutare Municipality,12,St Dominics High School,7501MUM1208,2,382,0,0,0,0,0,1,1,0,0,0,0,0,125,0,0,0,0,0,0,0,2,3,0,516,513
,,,, 12 POLLING STATIONS,WARD TOTAL,7,4468,2,0,2,0,6,11,4,1,2,0,2,2,2270,10,1,2,22,1,0,2,2,56,0,6873,6817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutasa South,Mutare Municipality,14,Chengetai Primary School,7501MUM1401,0,564,2,0,1,0,0,1,0,0,0,0,0,0,193,1,0,0,2,0,0,0,0,5,0,769,764
Mutare,Mutasa South,Mutare Municipality,14,Chikanga General Dealer Tent,7501MUM1402,0,462,4,0,0,1,1,5,0,0,0,0,0,0,166,0,0,0,1,0,0,0,0,4,0,644,640
Mutare,Mutasa South,Mutare Municipality,14,Chikanga Primary School A,7501MUM1403 A,2,432,2,0,0,0,0,0,0,0,0,0,0,0,162,0,0,1,1,0,0,0,0,1,0,601,600
Mutare,Mutasa South,Mutare Municipality,14,Chikanga Primary School B,7501MUM1403 B,0,453,1,0,0,0,0,2,0,0,0,0,1,0,152,1,0,0,1,0,0,0,0,2,0,613,611
Mutare,Mutasa South,Mutare Municipality,14,Chikanga Primary School C,7501MUM1403 C,1,434,2,0,0,0,0,0,0,0,0,0,0,0,154,2,0,0,2,0,0,0,1,2,0,598,596
Mutare,Mutasa South,Mutare Municipality,14,Chikanga Secondary School,7501MUM1404,1,581,1,0,0,1,0,0,0,0,0,0,0,1,210,0,0,1,3,1,0,0,0,2,0,802,800
Mutare,Mutasa South,Mutare Municipality,14,Corner Shop World Bank Tent A,7501MUM1405 A,1,374,1,0,0,0,1,1,0,0,0,0,0,0,129,0,1,0,0,0,0,0,0,1,0,509,508
Mutare,Mutasa South,Mutare Municipality,14,Corner Shop World Bank Tent B,7501MUM1405 B,0,377,0,0,1,0,1,2,0,0,0,0,0,0,137,0,0,0,0,1,0,0,0,5,0,524,519
,,,, 8 POLLING STATIONS,WARD TOTAL,5,3677,13,0,2,2,3,11,0,0,0,0,1,1,1303,4,1,2,10,2,0,0,1,22,0,5060,5038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa South,Mutasa RDC,18,Chidazembe Primary School,5000MTS1801,1,180,2,0,0,1,2,4,0,0,0,0,0,0,358,2,1,2,0,0,1,1,1,7,0,563,556
Mutasa,Mutasa South,Mutasa RDC,18,Drennan Clinic,5000MTS1802,0,45,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,2,0,70,68
Mutasa,Mutasa South,Mutasa RDC,18,Dunsinane Primary School,5000MTS1803,0,62,0,0,0,1,0,1,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,2,0,108,106
Mutasa,Mutasa South,Mutasa RDC,18,Nyakatsapa Primary School,5000MTS1804,4,228,2,0,0,0,0,3,0,0,0,0,0,0,158,1,0,0,2,0,0,0,0,17,0,415,398
Mutasa,Mutasa South,Mutasa RDC,18,Sheba Community Hall,5000MTS1805,0,278,1,0,0,1,0,2,0,0,0,0,0,0,94,0,0,0,3,0,0,0,0,2,0,381,379
,,,, 5 POLLING STATIONS,WARD TOTAL,5,793,5,0,0,3,2,10,0,0,0,0,0,0,673,3,2,2,6,0,1,1,1,30,0,1537,1507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa South,Mutasa RDC,21,Old West Hall A,5000MTS2101 A,2,538,0,0,0,0,0,2,1,0,0,0,0,0,141,2,0,1,0,0,0,0,0,10,0,697,687
Mutasa,Mutasa South,Mutasa RDC,21,Old West Hall B,5000MTS2101 B,1,529,1,0,0,0,0,1,0,0,0,0,0,0,159,0,0,2,1,0,0,0,0,2,0,696,694
Mutasa,Mutasa South,Mutasa RDC,21,Sub Office (Penhalonga) A,5000MTS2102 A,0,322,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,2,1,1,0,0,0,14,0,500,486
Mutasa,Mutasa South,Mutasa RDC,21,Sub Office (Penhalonga) B,5000MTS2102 B,1,308,0,0,1,1,0,2,0,0,0,0,0,0,172,0,0,1,0,0,0,0,0,6,0,492,486
Mutasa,Mutasa South,Mutasa RDC,21,Tsvingwe Primary School A,5000MTS2103 A,3,403,0,0,0,1,1,2,0,0,0,0,0,0,165,0,0,1,2,0,0,0,0,19,0,597,578
Mutasa,Mutasa South,Mutasa RDC,21,Tsvingwe Primary School B,5000MTS2103 B,2,397,3,0,1,0,0,5,0,0,0,0,0,0,185,1,0,0,0,1,0,0,1,4,0,600,596
Mutasa,Mutasa South,Mutasa RDC,21,Tsvingwe Primary School C,5000MTS2103 C,0,376,0,0,0,1,3,3,0,4,0,0,0,0,185,2,0,0,1,0,0,0,0,9,0,584,575
,,,, 7 POLLING STATIONS,WARD TOTAL,9,2873,4,0,2,3,4,15,1,4,0,0,0,0,1167,5,0,7,5,2,0,0,1,64,0,4166,4102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa South,Mutasa RDC,22,Beaulie Primary School,5000MTS2201,2,145,1,0,0,0,0,0,0,0,0,0,0,0,171,0,0,1,2,0,1,0,2,4,0,329,325
Mutasa,Mutasa South,Mutasa RDC,22,Forestry Industry Training Centre,5000MTS2202,1,319,0,0,0,0,0,3,0,0,0,0,0,0,152,0,0,0,4,0,1,0,0,3,0,483,480
Mutasa,Mutasa South,Mutasa RDC,22,Imbeza Primary School,5000MTS2203,0,143,0,0,0,0,0,1,0,0,0,1,0,0,103,2,0,0,0,0,0,0,0,1,0,251,250
,,,, 3 POLLING STATIONS,WARD TOTAL,3,607,1,0,0,0,0,4,0,0,0,1,0,0,426,2,0,1,6,0,2,0,2,8,0,1063,1055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutasa,Mutasa South,Mutasa RDC,23,En Avante Primary School,5000MTS2301,1,48,2,0,0,1,0,1,1,0,0,0,1,1,246,0,0,0,0,0,0,1,0,3,0,306,303
Mutasa,Mutasa South,Mutasa RDC,23,Fairview Farm Tent,5000MTS2302,1,19,0,0,0,0,0,0,0,0,0,1,1,0,163,0,0,0,0,0,0,0,0,3,0,188,185
